姓名,部门,职位,入职日期,职级,手机号,邮箱
陈远明,董事会,董事长,2018-07-01,S12,13800000001,yuanming.chen@xingchen.com
张北辰,总裁办,CEO,2018-07-01,S11,13800000002,beichen.zhang@xingchen.com
林浩然,技术委员会,CTO,2019-03-15,S10,13800000003,haoran.lin@xingchen.com
赵婉清,运营中心,COO,2019-06-01,S10,13800000004,wanqing.zhao@xingchen.com
吴景行,财务中心,CFO,2020-01-15,S10,13800000010,jingxing.wu@xingchen.com
许清楚,人力资源中心,HR总监,2020-03-01,S9,13800000005,qingchu.xu@xingchen.com
方逸飞,市场与品牌中心,市场总监,2020-07-01,S9,13800000006,yifei.fang@xingchen.com
苏明理,法务与合规中心,法务总监,2021-01-15,S8,13800000007,mingli.su@xingchen.com
周云帆,云计算事业群,总经理,2019-09-01,S9,13800000008,yunfan.zhou@xingchen.com
孙振宇,智能硬件事业部,总经理,2022-03-01,S8,13800000009,zhenyu.sun@xingchen.com
汪海洋,华东分公司,总经理,2020-06-01,S8,13800000011,haiyang.wang@xingchen.com
贺南风,华南分公司,总经理,2021-04-01,S7,13800000012,nanfeng.he@xingchen.com
陆云起,华北分公司,总经理,2021-08-01,S7,13800000013,yunqi.lu@xingchen.com
纪川,西南分公司,总经理,2022-06-01,S7,13800000014,chuan.ji@xingchen.com
张明,大模型部,高级算法工程师,2022-09-01,P7,13900000001,ming.zhang@xingchen.com
李婷,AI应用部,产品经理,2023-01-15,P6,13900000002,ting.li@xingchen.com
王磊,云基础设施部,架构师,2021-11-01,P8,13900000003,lei.wang@xingchen.com
刘洋,嵌入式软件部,嵌入式工程师,2023-04-01,P5,13900000004,yang.liu@xingchen.com
陈静,品牌策略组,品牌经理,2022-12-01,P6,13900000005,jing.chen@xingchen.com
赵宇,合同审查组,法务专员,2023-06-01,P5,13900000006,yu.zhao@xingchen.com
